label,year,reporter_info,status,case_categories,jurisdictions,principal_laws,summary,at_issue,case_documents,url
Santo Antônio Energia S.A. vs. SEDAM (Administrative fine for illegal burning),2018,,Decided,"Suits against governments, Energy and power, Suits against governments, Environmental Crimes","Brazil, Rondônia, Rondônia State Court","Brazil, Federal Constitution, art. 225, International Law, UNFCCC, Paris Agreement, Brazil, Paris Agreement (enacted by Decree 9073/2017), Brazil, National Policy on Climate Change – PNMC (Federal Law 12, Brazil, Forest Code (Law 12 651/2012), Brazil, Environmental Crimes Law","In March 2018, Santo Antônio Energia S.A. filed a Claim for the Annulment of an Administrative Act, with a request for injunction, against the State Agency for Environmental Development of Rondônia (SEDAM). The Santo Antônio Hydroelectric Plant (UHE Santo Antônio) operates a large hydroelectric plant located in the Amazon region. Construction activities required the removal of vegetation along the banks of the Madeira River, for which subcontractors were hired. During the vegetation clearance, the Environmental Commission of the Rondônia State Legislative Assembly received complaints that the subcontractors were setting fires in areas of the Santo Antônio and Jirau Hydroelectric Plants. SEDAM issued an infraction notice, alleging that the subcontractors burned 2,280 hectares of vegetation (1,750 hectares belonging to Santo Antônio S.A.) and imposed a fine of R$10,000,000.00. In its claim, the plaintiff asserts that the fires in question were criminal and that it took all necessary preventive measures. It seeks recognition of the statute of limitations or, alternatively, the annulment of the administrative act on the grounds of defects and the absence of elements necessary to establish administrative liability. As an injunction, the company requests the suspension of the enforceability of the fine and an order for SEDAM to refrain from taking any action that would require payment of the fine. On the merits, it requests the annulment of the infraction notice, or alternatively, an adjustment to the applied penalty or reduction of the fine amount.",Whether the illegitimate emissions of CO2 on the illegal burning of forests can be considered to increase the amount of an administrative fine.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230923_84434_decision.pdf,https://climatecasechart.com/non-us-case/santo-antonio-energia-sa-vs-sedam-administrative-fine-for-illegal-burning
Eolise v. France,2023,,Pending,"Suits against governments, Energy and power","France, Council of State",,"Assessing that France was not following a trajectory that would enable it to meet its climate objectives, on October 5, 2022, Eolise submitted to the French Government ten legislative and regulatory proposals concerning renewable energies.",Whether the French government’s failure to take further action to implement renewable energies violates the law.,No case documents are available.,https://climatecasechart.com/non-us-case/eolise-v-france
"Eurowind OÜ vs. Tori parish, Land Board and Environmental Board",2017,3/17/2013,decided,"Suits against governments, Energy and power","Estonia, Tallinn Administrative Court, Estonia, Supreme Court","International Law, UNFCCC, Paris Agreement","In 2017, two wind energy developers Eurowind OÜ and Nelja Energia AS submitted an application to Sauga parish (now Tori parish) for the approval of design provisions for constructing a wind park. According to the area planning, the area under question is a peat deposit that is also suitable for wind park construction. At the time of the application, three companies held permits for extracting peat. Sauga parish denied approval of design provisions, because peat extraction was supposed to continue for decades and in the view of the parish, the wind park could only be constructed after the peat deposit is exhausted. Eurowind OÜ filed a complaint to the Tallinn Administrative Court, which rejected it as well as the District Court.",Whether a wind energy developer may challenge the refusal of design provisions for a wind park.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210505_3-17-2013_decision.pdf,https://climatecasechart.com/non-us-case/eurowind-ou-vs-tori-parish-land-board-and-environmental-board
Arayara Institute vs. ANP and Federal Union (Anticipated Production of Evidence on oil and gas auctions),2023,Instituto Arayara vs. ANP e União Federal (Produção Antecipada de Provas sobre leilões de óleo e gás),Pending,"Suits against governments, Energy and power","Brazil, Federal District, Federal District Federal Court","International Law, UNFCCC, Paris Agreement, Brazil, National Policy on Climate Change – PNMC (Federal Law 12","On December 12, 2023, the Arayara International Institute of Education and Culture filled an Autonomous Action for the Anticipated Production of Evidence against the National Petroleum, Natural Gas and Biofuels Agency (ANP) and the Federal Union, with the aim of having them clarify the climate impact of their offers of blocks for oil and gas exploration. The plaintiff argues that the emissions associated with the ANP's offers of blocks for oil and gas exploration could compromise compliance with the targets set by Brazil under the Paris Agreement, which have been internalized in the Brazilian legal system with supra-legal status. Also, it is argued that oil and gas exploration contradicts the national energy policy's objectives, which include protecting the environment and mitigating GHG emissions. The plaintiff states there is no transparency about the calculations or emission estimates associated with the ANP's offers of blocks for oil and gas exploration or mitigation plans. He, therefore, seeks to provide the information needed to assess these impacts and possibly avoid the need for subsequent legal action to correct the country's energy policies. Specifically, the aim is to clarify whether the federal government (i) estimates the GHG emissions potentially generated by the offer of oil and gas exploration blocks in ANP auctions at the time of or before the publicity of the offer notice; (ii) calculates how the emissions that will result from the oil and gas exploration of the blocks offered, if they are acquired, may affect compliance with the Brazilian NDC and the Paris Agreement; (iii) has some kind of calculation or analysis of how emissions from burning Brazilian oil exported to other countries affect the global climate system; (iv) has a plan for mitigating emissions from oil and gas exploration in the blocks offered by the ANP; and (v) takes these emissions into account when establishing the country's energy policy.",Access to information on the climate impact of emissions associated with the offers of blocks for oil and gas exploration,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20231212_-Instituto-Arayara-vs.-ANP-e-Uniao-Federal-Producao-Antecipada-de-Provas-sobre-leiloes-de-oleo-e-gas_petition.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20240718_-Instituto-Arayara-vs.-ANP-e-Uniao-Federal-Producao-Antecipada-de-Provas-sobre-leiloes-de-oleo-e-gas_reply.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20240704_-Instituto-Arayara-vs.-ANP-e-Uniao-Federal-Producao-Antecipada-de-Provas-sobre-leiloes-de-oleo-e-gas_petition.pdf",https://climatecasechart.com/non-us-case/arayara-institute-vs-anp-and-federal-union-anticipated-production-of-evidence-on-oil-and-gas-auctions
Instituto Arayara vs. ANP and Federal Union (1st Permanent Offer Cycle of Oil Concession in the Santos and Campos Basins),2022,,Pending,"Suits against governments, Energy and power",,"Brazil, Paris Agreement (enacted by Decree 9073/2017), Brazil, National Environmental Policy Act (Law No. 6.938 of 1981)","On December 13, 2022, the Instituto Internacional Arayara de Educação e Cultura filed a Climate Public Civil Action (ACP) with a request for an injunction against the National Agency for Petroleum, Natural Gas, and Biofuels (ANP) and the Federal Union. It argues for the nullification of the inclusion of blocks located in the Santos and Campos Basins in the auction, as these areas overlap and are near Priority Areas for Biodiversity Conservation and Conservation Units. It is contended that the climate crisis demands a transition to clean energy and a reduction in carbon dioxide emissions, which is incompatible with the expansion of oil exploration in protected areas.",Whether the inclusion of blocks located in the Santos and Campos Basins in an oil auction is null and void in light of the climate crisis scenario.,No case documents are available.,https://climatecasechart.com/non-us-case/instituto-arayara-vs-anp-and-federal-union-1st-permanent-offer-cycle-of-oil-concession-in-the-santos-and-campos-basins
"Deutsche Umwelthilfe (DUH) v. State Office for Mining, Energy and Geology",2022,,Pending,"Suits against governments, Energy and power, Suits against governments, Trade and Investment, Environmental permitting","Germany, Federal Administrative Court","Germany, Federal Climate Protection Act of 2019 (KSG)","In September 2022, environmental organization Deutsche Umwelthilfe (DUH; Environmental Action Germany) filed a case against the State Office for Mining, Energy and Geology at the Federal Administrative Court in Leipzig. The suit aims to limit the permit given for the transport of liquefied natural gas (LNG) to ten years, to align with the overall climate targets as set by the Climate Protection Act. DUH also submits that from January 1, 2033 onwards, the pipeline may only be operated with green hydrogen or its derivatives.",The alignment of new energy policies with the emission reduction targets set out in the Climate Protection Act.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220916_18680_complaint.pdf,https://climatecasechart.com/non-us-case/deutsche-umwelthilfe-duh-v-state-office-for-mining-energy-and-geology
Instituto Arayara vs. ANP and others on auction of oil exploration blocks in the Amazon Basin,2023,,Pending,"Suits against governments, Energy and power","Brazil, Amazonas, Amazonas Federal Court","Brazil, Federal Constitution, art. 225, Brazil, National Environmental Policy (PNMA), Brazil, Federal Constitution, art. 170","On December 6, 2023, the NGO Instituto Arayara de Educação e Cultura para a Sustentabilidade filed a public civil action (environmental class-action) against the National Agency for Petroleum, Natural Gas and Biofuels (ANP), Brazil’s Federal Environmental Agency (IBAMA), and the Federal Government. This lawsuit is part of a set of 6 environmental class actions filed against the 4th Bid Cycle for oil exploration blocks. The aim is to challenge the auction of oil exploration blocks located in the Amazon Basin.",Challenge of an auction of oil exploration blocks for impacts on climate change.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20231206_72399_complaint.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20240301_72399_reply.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20240307_72399_reply.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20240301_72399_reply-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20240301_72399_reply-2.pdf",https://climatecasechart.com/non-us-case/instituto-arayara-vs-anp-and-others-on-auction-of-oil-exploration-blocks-in-the-amazon-bazin
Duda Salabert Rosa vs. Minas Gerais State and Taquaril Mineração S.A.,2022,APop 5020547-95.2022.8.13.0024,Pending,"Suits against governments, Environmental assessment and permitting, Natural resource extraction, Suits against governments, Energy and power, Suits against corporations, individuals, Corporations, Environmental assessment and permitting","Brazil, Minas Gerais, Minas Gerais State Court","Brazil, National Policy on Climate Change – PNMC (Federal Law 12, Brazil, National Environmental Policy (Federal Law 6 938/81), Brazil, CONAMA Resolution No. 01/86","On February 7, 2022, Duda Salabert Rosa filed a preventive Citizen Suit with a request for a preliminary injunction against the state of Minas Gerais, Taquaril Mineração S/A and Vale S/A - later excluded from the parties - due to the omission to analyze the worsening of extreme weather events within the environmental licensing process of mining projects in the state of Minas Gerais. The plaintiff alleges that the exploitation of minerals in the state is being affected by extreme atmospheric phenomena, a situation neglected by the federative entity. It is pointed out that the negligence regarding the climate issue resulted in the flooding of the Downstream Containment Structure (ECJ) dam built by Vale S/A in the Municipality of São Sebastião das Águas Claras after heavy rains, flooding roads in the region, leaving the district without access to water, electricity, transportation, garbage removal and other essential services. The author indicates that the project was not preceded by an Environmental Impact Study (EIS) or due environmental licensing. The plaintiff emphasizes that the company is unable to measure the impacts of a possible dam failure if the ECJ reservoir is overflowing with water and tailings. It is affirmed that it is therefore necessary to review the hydraulic modeling for this type of project through a corrective environmental licensing process. Still regarding Vale S/A, it is required the stoppage of the Apolo Project, since the studies presented in the scope of its environmental licensing processes would not have analyzed the influence of the intensification of extreme climatic events on the operation of the activity. The environmental licensing process for the Serra do Taquaril Mining Complex, managed by Mineração Taquaril S/A, is also to be halted, considering that the effects of climate change on the project have not been assessed. According to the EIA, due to the Complex, sediment containment basins will be built, which, if they break, will directly impact a water intake pipeline, affecting the supply of 70% of the local population. The plaintiff argues that the National Policy on Climate Change and the State Policy for Preventing and Combating Disasters Resulting from Heavy Rainfall should guide environmental licensing in the State of Minas Gerais, in order to include the climate variable in the procedure, following a decision issued by the 9th Federal Court of Porto Alegre, which determined the inclusion of climate guidelines in the Terms of Thermoelectric Power Plants in Rio Grande do Sul State. It is required that the environmental licensing of the Serra do Taquaril Complex and the Apolo Project must be suspended and the corrective licensing of the JTC must be immediately initiated.
In its reply, Vale S/A informed that the Apolo Project was at a preliminary stage, still under analysis by the competent environmental agency, so as not to represent danger to the environment. It informed that ECJ would already be going through a corrective licensing phase before the competent environmental agency, which is why there was no interest in acting by the plaintiff. It defended the existence of an impossible passive joinder of defendants, since there would be no relationship between the defendants or affinity between the requests made against each defendant. Subsequently, the plaintiff requested an amendment to the initial application, in order to exclude Vale S/A from the defendant's position. In August 2022, a partial judgment was rendered that extinguished the claim against Vale S/A. Afterwards, the court dismissed the action, without resolution of the merits, for inadequacy of the chosen path. It was understood that the Citizen Suit is not an appropriate procedural means for the demand sought.",Whether a permanent injunction can be filed under a Citizen Suit against mining projects due to the omission to analyze the worsening of extreme weather events within the environmental licensing process.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220207_APop-5020547-95.2022.8.13.0024_petition.pdf,https://climatecasechart.com/non-us-case/duda-salabert-rosa-vs-minas-gerais-state-and-taquaril-mineracao-sa
Clara Leonel Ramos and others vs. State of São Paulo and others (Families for the Climate and Fridays for Future question IncentivAuto Program),2020,Ação Popular 1068508-84.2021.8.26.0053,Decided,"Suits against governments, Access to information, Suits against governments, Human Rights, Youth/Children, Suits against governments, Energy and power","Brazil, Sao Paulo, Sao Paulo State Court","Brazil, Federal Constitution, art. 225, Brazil, PNMC (Federal Law 12 187/2009), Brazil, State Policy on Climate Change – PEMC (State Law 13798/2009), Brazil, State Decree 61.130/2019","On November 10, 2021, individuals from two global movements that seek to promote climate justice, Families for the Climate and Fridays for Future, filled a Popular Action, with a request for a preliminary injunction, against the State of São Paulo, the Governor of the State (João Doria) and the Secretary of Finance and Planning (Henrique Meirelles). The plaintiffs question the adequacy of the administrative acts that structure the institutional design of the IncentivAuto Program - Automotive Regime for New Investments to the federal and state rules protecting the climate system, such as the National Policy on Climate Change - PNMC (Federal Law 12. 187/2009) and the State Policy on Climate Change - PEMC (State Law 13.798/2009), and the international commitments made by Brazil, especially under the United Nations Framework Convention on Climate Change - UNFCCC and the Paris Agreement. The plaintiffs highlight the lack of transparency of the Program's information, which resulted in the separate filing of the Autonomous Action for the Advance Production of Evidence (No. 1047315-47.2020.8.26.0053). They argue that public policies for social and economic development should be aligned with the mitigation of environmental or climate damage and the preservation of the environment, life, and human health of present and future generations, highlighting the social function of property. They allege that the acts do not bring any requirement for project assessment through socio-environmental parameters that aim at the reduction of Greenhouse Gas (GHG) emissions. According to the plaintiffs, the Program finances, with public resources, the increase of emissions, in disagreement with the protective norms of the climate system. Finally, they request, among other things, (i) the granting of injunctive relief determining the suspension of the IncentivAuto Program and, definitively, (ii) the confirmation of the injunction to declare the nullity of the regulations that structure it and of the other administrative acts resulting therefrom; or, alternatively, to determine that the State of São Paulo includes, in the Program, conditions for the approval of projects related to the adoption of measures aimed at the reduction of GHG emissions and adaptation to climate impacts.","The adequacy of the regulations of the IncentivAuto Program (Automotive Regime for New Investments) to the international, federal, and state rules protecting the climate system.","https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20231025_Acao-Popular-1068508-84.2021.8.26.0053_reply-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20231025_Acao-Popular-1068508-84.2021.8.26.0053_reply-2.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20231025_Acao-Popular-1068508-84.2021.8.26.0053_decision-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20231025_Acao-Popular-1068508-84.2021.8.26.0053_decision-2.pdf",https://climatecasechart.com/non-us-case/clara-leonel-ramos-and-bruno-de-almeida-de-lima-vs-state-of-sao-paulo-families-for-the-climate-and-incentivauto-program
Greenpeace Mexico v. Ministry of Energy and Others (on the Energy Sector Program),2020,Amparo No. 372/2020,Decided,"Suits against governments, Energy and power, Suits against governments, Human Rights, Right to a healthy environment","Mexico, District Court in Administrative Matters","Mexico, Electricity Industry Law, Mexico, Constitution","On August 20, 2020, Greenpeace Mexico lodged a complaint in the District Court of Mexico City against Mexico's Energy Sector Program for 2020-2024, which had been finalized on July 8, 2020. The complaint asserts that the Program infringes upon human rights, including the right to a healthy environment and access to electricity from renewable sources. This infringement stems from the Program's promotion of fossil fuel usage at the expense of investments in renewable energy, greenhouse gas reduction, and climate adaptation.",Whether Mexico's energy sector policy violates human rights by promoting fossil fuels at the expense of renewables,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20200820_Amparo-No.-3722020_complaint.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20200921_Amparo-No.-3722020_decision.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210319_Amparo-No.-3722020_decision-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230331_Amparo-No.-3722020_decision-1.pdf",https://climatecasechart.com/non-us-case/greenpeace-mexico-v-ministry-of-energy-and-others
