label,year,reporter_info,status,case_categories,jurisdictions,principal_laws,summary,at_issue,case_documents,url
Opinion of Advocate General Sharpston (On request for preliminary ruling from Gerechtshof ’s-Hertogenbosch (Netherlands)),,[2014] Case C-426/12,Interpreted key term broadly,"Suits against governments, GHG emissions reduction and trading, Other","European Union, European Court of Justice","European Union, Secondary Law, Directives, 2003/87/EC","Advocate General Sharpston was asked for guidance as to the meaning of the term ‘dual use’ in the second indent of Article 2(4)(b) in relation to sugar production and lime fertilizer, the by-product arising from that process, of the Directive 2003/96/EC, which introduced a regime imposing minimum harmonized levels of taxation on all energy products and electricity. The referring court also asked whether national legislators are constrained by an EU concept of what constitutes dual use if they choose to introduce domestic measures in order to tax such energy products.",Requesting guidance as to the meaning of the term ‘dual use’ in Directive 2003/96/EC,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2014/20140522_2014-Case-C-42612_opinion-1.pdf,https://climatecasechart.com/non-us-case/opinion-of-advocate-general-sharpston-on-request-for-preliminary-ruling-from-gerechtshof-s-hertogenbosch-netherlands
All Aboard Aotearoa v Auckland Transport,2021,[2022] NZHC 1620,Decided,"Suits against governments, GHG emissions reduction and trading, Other, Suits against governments, Environmental assessment and permitting, Other projects","New Zealand, High Court of New Zealand","International Law, UNFCCC, Paris Agreement, New Zealand, Land Transport Management Act 2003, New Zealand, Local Government Act 2002, New Zealand, Climate Change Response Act 2002","In June 2021, the Planning Committee of Auckland Council, acting on the recommendation of Auckland’s Regional Transport Committee (RTC), adopted the Regional Land Transport Plan 2021 (RLTP). Under the RLTP, Auckland’s transport emissions are expected to increase 6% between 2016 and 2031, and vehicle kilometers traveled per capita are not expected to decrease. All Aboard Aotearoa (AAA), an NGO, brought an action against the three local government bodies which had proposed, recommended, and adopted the RLTP.",Whether the adoption of a Regional Land Transport Plan by local government which increased carbon emissions was unlawful on the basis of procedural defects and inconsistency with national statutes.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210806_2022-NZHC-1620_points-of-claim-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220708_2022-NZHC-1620_judgment-1.pdf",https://climatecasechart.com/non-us-case/all-aboard-aotearoa-v-auckland-transport
KlimaSeniorinnen v Switzerland (ECtHR),2020,Application no. 53600/20,Decided,"Suits against governments, Human Rights, Other, Suits against governments, GHG emissions reduction and trading, Other","International Courts & Tribunals, European Court of Human Rights","International Law, European Convention on Human Rights","For a summary of the Swiss case, see here.",Adequacy of Swiss government's climate change mitigation targets and implementation measures and possible infringement on human rights.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20201126_Application-no.-5360020_application.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210325_Application-no.-5360020_order.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210426_Application-no.-5360020_order.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210716_Application-no.-5360020_reply.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210921_Application-no.-5360020_na-4.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210922_Application-no.-5360020_na-2.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210917_Application-no.-5360020_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210922_Application-no.-5360020_na-3.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210917_Application-no.-5360020_na-2.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210915_Application-no.-5360020_na-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210921_Application-no.-5360020_na-2.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210922_Application-no.-5360020_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210921_Application-no.-5360020_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210915_Application-no.-5360020_na-2.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20211013_Application-no.-5360020_reply-5.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20211013_Application-no.-5360020_reply-4.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20211013_Application-no.-5360020_reply.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20211013_Application-no.-5360020_reply-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20211013_Application-no.-5360020_reply-2.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220426_Application-no.-5360020_order.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220401_Application-no.-5360020_na-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20221202_Application-no.-5360020_petition.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20221205_Application-no.-5360020_na-3.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20221205_Application-no.-5360020_na-2.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20240409_Application-no.-5360020_judgment.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20240409_Application-no.-5360020_press-release.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20221205_Application-no.-5360020_na-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2025/20250306_Application-no.-5360020_decision.pdf",https://climatecasechart.com/non-us-case/union-of-swiss-senior-women-for-climate-protection-v-swiss-federal-council-and-others
Armstrong DLW GmbH v. Winnington Networks Ltd.,,[2012] EWHC 10,EU Allowances classified as intangible property,"Suits against governments, GHG emissions reduction and trading, EU ETS","United Kingdom, England and Wales, High Court of Justice","United Kingdom, EU Emissions Trading Scheme","Under the EU Emissions Trading Scheme (EU ETS), European Union Allowances (EUAs) are now classified as intangible property under English law.  As a result of a fraudulent sale to Winnington of EUAs belonging to Armstrong, it was necessary to determine, among other things, their status under law.  To determine the status of EUAs, the Court applied a three-part test identified in Re Celtic Extraction.  In order for EUAs to be considered property, there must be statutory framework conferring an entitlement on their holder to an exemption from a fine, the “property” must be transferable under a statutory framework, and the “property” must have value.  The Court classified EUAs as intangible property at common law, as they satisfy the three prongs of the test, and determined that since EUAs may be subject to restitutionary claims, Armstrong was entitled to a money judgment.",Determine legal status of EU Allowances (EUAs) under English law,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2012/20120111_2012-EWHC-10_decision.pdf,https://climatecasechart.com/non-us-case/armstrong-dlw-gmbh-v-winnington-networks-ltd
"Re Société Arcelor Atlantique, Lorraine and Others: Decision No. 287110 of Feb. 8, 2007",,N° 287110,Denied,"Suits against governments, GHG emissions reduction and trading, EU ETS","France, Council of State","France, Decree n°2004-832","Companies from the steel industry claimed that decree n°2004-832, which transposes the EU directive of October 13, 2003 establishing a system of exchange of greenhouse gas emission quotas in the European Union, was illegal.  The Companies claimed that the directive violated the principle of equality since it provided for a difference of treatment between certain industries.  Indeed it included the companies from the steel industry but excluded companies from the plastic and aluminum industries.  The French Conseil d’Etat referred the question to the European Court of Justice for a preliminary ruling.  The European Court of Justice held that the directive did not violate the principle of equality as the difference of treatment between the industries was justified by objective criteria, such as the very low carbon dioxide emissions from the non-steel industries.",Challenge to validity of decree transposing EU directive,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2007/20070208_N°-287110_decision-1.pdf,https://climatecasechart.com/non-us-case/decision-no-287110-of-feb-8-2007-re-societe-arcelor-atlantique-lorraine-and-others
Société Arcelor Atlantique et Lorraine v. [EU] Parliament and Council (environment and consumers),,Case T-16/04,Application dismissed,"Suits against governments, GHG emissions reduction and trading, EU ETS","European Union, European Court of Justice","European Union, Secondary Law, Directives, 2003/87/EC","The General Court of the European Union dismissed an action brought by Arcelor, a steel producer, challenging the validity of the Emissions Trading Directive. Arcelor claimed that application of certain articles of the directive violated several principles of Community law, including the right of property, the freedom to pursue an economic activity, the principle of proportionality, the principle of equal treatment, freedom of establishment and the principle of legal certainty.  The General Court dismissed the action for annulment as inadmissible, noting that Arcelor is neither individually nor directly concerned by the directive.",Steel producer challenged validity of Directive 2003/87/EC,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20100302_Case-T-1604_decision.pdf,https://climatecasechart.com/non-us-case/societe-arcelor-atlantique-et-lorraine-v-eu-parliament-and-council-environment-and-consumers
Trinseo v. Federal Republic of Germany,2016,C-577/16,Decided,"Suits against governments, GHG emissions reduction and trading, EU ETS","European Union, European Court of Justice","European Union, Secondary Law, Regulations, Commission Decision 2011/278/EU, European Union, Secondary Law, Directives, 2003/87/EC","Trinseo operates an installation for the production of polycarbonate. That installation obtains the steam needed for that production from a plant which is operated, on the same site, by another company, Dow Deutschland Anlagengesellschaft.  On 23 January 2012, Trinseo applied to the German Emissions Trading Authority for the free allocation of emission allowances. By decision of 17 February 2014, the German authority refused that application, on the ground that polycarbonate is not included in the list of substances and groups of substances referred to in the provision of the German legislation transposing Directive 2003/87/CE, which establishes a scheme for greenhouse gas emission allowance trading within the European Community.","Following the rejection by Germany of Trinseo’s application for free allocation of emission allowances, the ECJ must decide whether the directive n°2003/87/CE, that establishes a system of emission allowances and regulates the free allocation of those allowances, is applicable to the production of polycarbonate operated by Trinseo.","https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2016/20161116_-C-57716_na.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2017/20171214_-C-57716_opinion.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2018/20180228_-C-57716_judgment.pdf",https://climatecasechart.com/non-us-case/trinseo-v-federal-republic-of-germany
European Commission v. Council for the European Union,,[2015] C-425/13,Partial annulment,"Suits against governments, GHG emissions reduction and trading, Other","European Union, European Court of Justice","European Union, Primary Law, Treaty on the Functioning of the European Union, Article 13(2), European Union, Primary Law, Treaty on the Functioning of the European Union, Article 218(2) to (4), European Union, Primary Law, Treaty on the Functioning of the European Union, Article 295","Australia approached the European Commission (the “Commission”) to negotiate linking the EU’s greenhouse gas emissions trading scheme with Australia’s emissions trading system. A formal recommendation authorizing the opening of negotiations with Australia was adopted by the Commission and forwarded to the Council for the EU (the “Council”). After Member States requested greater involvement in the negotiations with Australia, the Council approved negotiating directives which 1) required the Commission to “report in writing to the Council on the outcome of the negotiations after each negotiating session and, in any event, at least quarterly” and 2) laid out specific procedures for the negotiations, including allowing the Council or a special committee to establish detailed negotiating positions for the EU. The Commission brought an action to annul these sections of the negotiating directives on the basis that they exceeded the Council’s authority and encroached on the Commission’s power. The Advocate General issued an opinion finding that the Council is entitled to ask for regular reports on the negotiations process, but it may not unilaterally impose detailed procedures for the conduct of international negotiations. The Advocate General recommended that the Court annul the section of the negotiating directives requiring specific negotiating procedures.",European Commission challenged negotiating directives of Council establishing detailed negotiating procedures and reporting requirements,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2015/20150317_2015-C-42513_opinion.pdf,https://climatecasechart.com/non-us-case/european-commission-v-council-for-the-european-union
Raja Zahoor Ahmed v. Capital Development Authority,1995,,Decided,"Suits against governments, GHG emissions reduction and trading, Other","Pakistan, Supreme Court","Pakistan, Constitution","On October 5, 1995, the Capital Development Authority, which is responsible for planning decisions in Pakistan's capital city of Islamabad, rescinded a previous decision to allow a number of residential properties to be converted to commercial use. It determined that the original decision would have been incompatible with the Master Plan of Islamabad. After rescinding the decision to allow commercial use of the properties, the Board issued notices to a number of property owners regarding their unsanctioned use of residential properties for commercial use. These notices were challenged by the petitioners and on February 16, 2015, the Islamabad High Court dismissed the petitions. The case was subsequently appealed to the Supreme Court.",How climate change considerations should be taken into account within urban planning decisions.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220520_17536_decision.pdf,https://climatecasechart.com/non-us-case/raja-zahoor-ahmed-v-capital-development-authority
"Cosima Rade, et al. v. Baden-Württemberg (BaWü)",2021,,Dismissed,"Suits against governments, Human Rights, Other, Suits against governments, GHG emissions reduction and trading, Other","Germany, Federal Constitutional Court","International Law, UNFCCC, Paris Agreement, Germany, Constitution, Germany, Federal Climate Protection Act of 2019 (KSG)","On December 6, 2021, the youth and young adult plaintiffs Cosima Rade, Hauke Engels, Jonathan Heckert, Judith Scheytt and An Janna Mahendrarajah, supported by environmental organization Deutsche Umwelthilfe (DUH; Environmental Action Germany), brought a constitutional claim against the state of Baden-Württemberg (BaWü) for the inadequacy of its adopted and amended climate law. The plaintiffs relied on the German Constitution (Basic Law) to call on the state legislature to set a GHG emissions reduction pathway, to comply with the remaining CO2 budget and adopt sufficient instruments to achieve and verify the climate protection targets set by the Paris Agreement.",The inadequacy of a climate protection law in the State of Baden-Württemberg.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20211206_16009_petition.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220118_16009_order.pdf",https://climatecasechart.com/non-us-case/cosima-rade-et-al-v-baden-wurttemberg-bawu
"Tristan Runge, et al. v. State of Saxony",2021,,Decided,"Suits against governments, Human Rights, Youth/Children, Suits against governments, GHG emissions reduction and trading, Other","Germany, Federal Constitutional Court","International Law, UNFCCC, Paris Agreement, Germany, Constitution, Germany, Federal Climate Protection Act of 2019 (KSG)","On September 9, 2021, the youth plaintiffs Tristan Raphael Carsten Runge, Robert Dietz, and Alexander Klein, supported by environmental organization Deutsche Umwelthilfe (DUH; Environmental Action Germany) brought a constitutional claim against the state of Saxony, for its failure to adopt a climate protection law. An initiative from 2020 was unsuccessful. Plaintiffs invoked the state’s duty to protect their fundamental rights, to request that the state legally stipulate a GHG emissions reduction pathway towards achieving climate neutrality by 2045, to comply with the Federal Climate Protection Act and the overarching 1.5°C temperature target, as informed by the Paris Agreement. This case is part of a series of eleven separate constitutional complaints supported by DUH against ten federal states, following the Constitutional Court’s Neubauer decision in 2021.",The lack of a climate protection law in the State of Saxony.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210909_14614_petition.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220118_14614_order.pdf",https://climatecasechart.com/non-us-case/tristan-runge-et-al-v-state-of-sachsen
