label,year,reporter_info,status,case_categories,jurisdictions,principal_laws,summary,at_issue,case_documents,url
Charanne B.V. and Construction Investments S.A.R.L. v. Spain,2012,SCC Case No. 062/2012,Decided in favor of State (21 Jan 2016),"Suits against governments, Trade and Investment, Rollback of climate-justified measures","Arbitral Tribunal, Stockholm Chamber of Commerce","International Law, Energy Charter Treaty","The case ""Charanne B.V. and Construction Investments S.A.R.L. v. Spain"" (SCC Case No. 062/2012) involves a dispute under the Energy Charter Treaty (ECT) between the claimants, Charanne B.V. and Construction Investments S.A.R.L., and the respondent, the Kingdom of Spain. The claimants invested in the Spanish renewable energy sector, specifically in photovoltaic plants, based on Spain's regulatory framework that included a """"Feed-In Tariff"""" (FIT) regime established by RD 661/07 and RD 1578/08. This regime was intended to incentivize investments by guaranteeing certain tariffs for a minimum of 25 years.",Whether the rollback of subsidies by the Spanish government to the renewable energy sector violates the investor's legitimate expectations and the fair and equitable treatment standard under Article 10(1) of the ECT.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2016/20160121_SCC-Case-No.-0622012_judgment-1.pdf,https://climatecasechart.com/non-us-case/charanne-bv-and-construction-investments-sarl-v-spain
Antaris Solar GmbH and Dr. Michael Göde v. The Czech Republic,2013,PCA Case No. 2014-01,Decided in favor of State (Award - 2 May 2018),"Suits against governments, Trade and Investment, Rollback of climate-justified measures","Arbitral Tribunal, Permanent Court of Arbitration","International Law, Germany – Czech and Slovak Republic BIT, International Law, Energy Charter Treaty","The arbitration case involves Antaris GmbH, a German commercial company, and Dr Michael Gode (""Claimants"") against the Czech Republic (""Respondent"").","Whether the rollback of subsidies by the Czech Republic government to the renewable energy sector, along with the introduction of the Solar Levy, violates the fair and equitable treatment of the ECT","https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2018/20180502_PCA-Case-No.-2014-01_judgment.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2018/20180502_PCA-Case-No.-2014-01_opinion.pdf",https://climatecasechart.com/non-us-case/antaris-solar-gmbh-and-dr-michael-gode-v-the-czech-republic
Blusun v Italy,2014,ICSID Case No. ARB/14/30,Decided,"Suits against governments, Trade and Investment, Rollback of climate-justified measures","Arbitral Tribunal, International Centre for Settlement of Investment Disputes","International Law, Energy Charter Treaty","Blusun S.A., a holding company incorporated in Belgium, and its shareholders Jean-Pierre Lecorcier and Michael Stein, filed a request for arbitration against Italy, contesting Italy’s changes to the legal regime governing investments in the photovoltaic (PV) sector. In particular, the investors challenged a series of measures taken by the Italian authorities between 2010 and 2012, alleging that such measures breached the FET standard under ECT Article 10(1) and had an effect equivalent to nationalization or expropriation under ECT Article 13(1).",Claims arising out of a series of governmental decrees to cut tariff incentives for some solar power projects,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2016/20161227_ICSID-Case-No.-ARB1430_judgment.pdf,https://climatecasechart.com/non-us-case/blusun-v-italy
"Deutsche Umwelthilfe (DUH) v. State Office for Mining, Energy and Geology",2022,,Pending,"Suits against governments, Energy and power, Suits against governments, Trade and Investment, Environmental permitting","Germany, Federal Administrative Court","Germany, Federal Climate Protection Act of 2019 (KSG)","In September 2022, environmental organization Deutsche Umwelthilfe (DUH; Environmental Action Germany) filed a case against the State Office for Mining, Energy and Geology at the Federal Administrative Court in Leipzig. The suit aims to limit the permit given for the transport of liquefied natural gas (LNG) to ten years, to align with the overall climate targets as set by the Climate Protection Act. DUH also submits that from January 1, 2033 onwards, the pipeline may only be operated with green hydrogen or its derivatives.",The alignment of new energy policies with the emission reduction targets set out in the Climate Protection Act.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220916_18680_complaint.pdf,https://climatecasechart.com/non-us-case/deutsche-umwelthilfe-duh-v-state-office-for-mining-energy-and-geology
Uniper v. the Netherlands,2021,ICSID Case No. ARB/21/22,Withdrawn,"Suits against governments, Trade and Investment, Climate-justified measures","Arbitral Tribunal, International Centre for Settlement of Investment Disputes","International Law, Energy Charter Treaty","On April 30, 2021, German energy company Uniper filed a dispute against the government of the Netherlands alleging that the government's plan to phase out coal by 2030 violates the Energy Charter Treaty.",Whether the Netherlands' plan to phase out coal by 2030 violates the Energy Charter Treaty.,No case documents are available.,https://climatecasechart.com/non-us-case/uniper-v-netherlands
"Odyssey Marine Exploration, Inc. v. United Mexican States",2019,ICSID Case No. UNCT/20/1,Decided,"Suits against governments, Trade and Investment, Environmental permitting","Arbitral Tribunal, International Centre for Settlement of Investment Disputes","International Law, UNCITRAL Arbitration Rules, International Law, NAFTA (North American Free Trade Agreement)","Odyssey Marine Exploration, Inc. (NASDAQ: OMEX) has been awarded $37.1 million in arbitration against Mexico for breaches of obligations under NAFTA. The tribunal found that Mexico’s environmental agency, SEMARNAT, unlawfully denied Odyssey’s environmental permit, violating both Mexican and international laws. The award includes interest at the Mexico Treasury bond rate from October 12, 2018, and reimbursement for arbitrators' fees and ICSID costs.",Claims arising out of the Mexican environmental agency (SEMARNAT)'s refusal of the Oceanica Project,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20240405_ICSID-Case-No.-UNCT201_judgment-1.pdf,https://climatecasechart.com/non-us-case/odyssey-marine-exploration-inc-v-united-mexican-states-icsid-case-no-unct-20-1
Environment Victoria vs the EPA et. al.,2021,S ECI 2021 03415,Decided,"Suits against governments, Trade and Investment, Environmental permitting","Australia, Victoria, Supreme Court of Victoria","Australia, Climate Change Act 2017 (Victoria), Australia, Environmental Protection Act 1970 (Victoria)","On September 20, 2021, Environment Victoria launched a legal action against the Environment Protection Authority (EPA) and AGL Energy, EnergyAustralia, and Alinta, owners of Victoria’s three remaining coal-burning power stations. The plaintiffs question EPA’s review of three power station licenses, which lacked more stringent limits on GHG emissions. Environment Victoria argues that the EPA has failed to require best practice management of toxic emissions, take proper account of the environmental principles in the Environment Protection Act and consider key sections of the 2017 Climate Change Act. Environment Australia asks the court to revoke, amend, and attach certain conditions to the licenses.",Whether the EPA complied with the Climate Change Act when issuing a new license for coal-burning power stations that failed to lower the limits of GHG emissions.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210916_S-ECI-2021-03415_petition.pdf,https://climatecasechart.com/non-us-case/environment-victoria-vs-the-epa-et-al
"Novenergia II – Energy & Environment (SCA) (Grand Duchy of Luxembourg), SICAR v. Kingdom of Spain, SCC Case No. 2015/063",2015,,"The arbitral tribunal ruled in favor of the investor. However, the Svea Court of Appeal in Sweden annulled the award in December 2022, citing the Court of Justice of the European Union's ruling in Komstroy","Suits against governments, Trade and Investment, Rollback of climate-justified measures","Arbitral Tribunal, Stockholm Chamber of Commerce","International Law, Energy Charter Treaty","In accordance with Spain's special regime for renewable energy support, established by Law 54/1997 and further detailed in Royal Decree RD 661/2007, the claimant, Novenergia II – Energy & Environment (SCA), a Luxembourg-based investment fund, invested in Spain's photovoltaic (PV) sector on September 13, 2007. This regulatory framework assured renewable energy producers registered with the Administrative Registry for Electrical Power Generating Units (RAIPRE) a feed-in tariff (FIT) for the operational lifespan of their PV installations. However, the global economic downturn and a regulated electricity tariff set below the FITs rendered the support scheme financially unsustainable. Consequently, in 2013, Spain enacted a series of regulatory changes, replacing the existing regime with a less favorable one, which included measures such as a 7% tax on power generators' revenues and a reduction in subsidies for renewable energy producers.","The main legal issue in this case is whether Spain's regulatory changes to its renewable energy support scheme, which replaced the guaranteed feed-in tariff (FIT) regime with a less favorable system, violated its obligations under the Energy Charter Treaty (ECT). Specifically, the case examines whether these changes breached the ECT's requirement to provide fair and equitable treatment (FET) to investors under Article 10(1).",No case documents are available.,https://climatecasechart.com/non-us-case/novenergia-ii-energy-environment-sca-grand-duchy-of-luxembourg-sicar-v-kingdom-of-spain-scc-case-no-2015-063
Rockhopper v. Italy,2017,ICSID Case No. ARB/17/14,Pending,"Suits against governments, Trade and Investment, Environmental permitting","Arbitral Tribunal, International Centre for Settlement of Investment Disputes","International Law, Energy Charter Treaty","In 2015 the Italian Parliament re-introduced a ban on oil and gas exploration within 12 miles of the Italian coastline. The ban had previously been introduced in 2010 but revoked in 2012. In 2017, UK company Rockhopper Exploration Plc, along with its Italian subsidiary, filed a claim for compensation alleging violations of the investor protection provisions of the Energy Charter Treaty. The claim concerned its interests in the Ombrina Mare oil rig, for which it was hoping to obtain a production concession from the Italian Government prior to the introduction of the ban. The company is claiming compensation both for funds spent and for anticipated profits, which may run to USD $200-300 million.",Claims arising out of the decision not to award the claimants a production concession following the Government’s re-introduction of a general ban on oil and gas exploration and production activity within the 12 mile limit of the coastline.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220823_ICSID-Case-No.-ARB1714_decision.pdf,https://climatecasechart.com/non-us-case/rockhopper-v-italy
9REN Holding v. Spain,2015,ICSID Case No. ARB/15/15,Decided,"Suits against governments, Trade and Investment, Rollback of climate-justified measures","Arbitral Tribunal, International Centre for Settlement of Investment Disputes","International Law, Energy Charter Treaty","In March 2015, 9REN filed a claim against Spain alleging a violation of the fair and equal treatment provisions of the Energy Charter Treaty by the Government of Spain. The claim arose as a result of measures, implemented in 2010, which introduced a number of changes to a previous incentive regime for renewable energy established in 2007, and included a 7 per cent tax on power generators’ revenues and a reduction in subsidies for renewable energy producers.","Claims arising out of a series of energy reforms undertaken by the Government affecting the renewables sector, including a 7 per cent tax on power generators’ revenues and a reduction in subsidies for renewable energy producers.",https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20190531_ICSID-Case-No.-ARB1515_decision.pdf,https://climatecasechart.com/non-us-case/9ren-holding-v-spain
