label,year,reporter_info,status,case_categories,jurisdictions,principal_laws,summary,at_issue,case_documents,url
Jubilee v EFA and NAIF,2023,NSD724/2023,Pending,"Suits against governments, Access to information",,"Australia, Environment Protection and Biodiversity Conservation Act 1999 (Cth), Australia, Precautionary Principle, Australia, Principle of Intergenerational Equity","On July 18, 2023, Jubilee Australia, a human rights and environmental organization, filed a claim in the Federal Court of Australia seeking to compel Federal government agencies that subsidize fossil fuel projects to disclose the full environmental effects of those activities. The claim is against Export Finance Australia (EFA), Australia’s export credit agency, and the Northern Australia Infrastructure Facility (NAIF), a $7bn AUD fund for infrastructure in northern Australia. Both EFA and NAIF provide taxpayer-subsidized financial support to fossil fuel projects that may not otherwise go ahead. The claim names the Chairs of EFA and NAIF as representatives of their respective Boards, which, in turn, must ensure the reporting requirements are met. The action alleges certain contraventions of s 516A(6) of the Environment Protection and Biodiversity Conservation Act 1999 (Cth) that requires government agencies and departments to include the following information in their annual reports:",Whether EFA and NAIF have complied with the reporting requirements of s 516A(6) of the Environment Protection and Conservation Act 1999 (Cth).,No case documents are available.,https://climatecasechart.com/non-us-case/jubilee-v-efa-and-naif
IDLADS v. MINAM Enforcement Action (Regulating Forest Carbon Capture Infringement),2023,04419-2023-0-1801-JR-DC-01,Pending,"Suits against governments, Access to information, Suits against governments, GHG emissions reduction and trading, Other","Peru, Superior Court of Lima",,IDLADS submitted a petition under the Seventeenth Final Complementary Provision of the Regulations of the Climate Change Act. This provision stipulates that MINAM has to prepare a regulatory proposal that classifies and punishes actions related to acts or conducts on forest carbon capture and REDD+ in coordination with national organizations representing indigenous or native peoples within a period of 180 working days.,Establishment of regulations for infringement for conduct against the environment.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230824_04419-2023-0-1801-JR-DC-01_complaint.pdf,https://climatecasechart.com/non-us-case/idlads-v-minam-enforcement-action-regulating-forest-carbon-capture-infringement
O’Donnell v. Commonwealth,2020,"Case number: VID482/2020, Judgment citation: [2021] FCA 1223",Pending,"Suits against governments, Access to information",,"Australia, Australian Securities and Investments Commission Act 2001 (Cth), Australia, Public Governance Performance and Accountability Act 2013 (Cth) (deleted in 3FASOC), Australia, Corporations Act","On July 22, 2020, Equity Generation Lawyers filed a lawsuit in the Federal Court on behalf of Kathleen (Katta) O'Donnell against the Australian government. The lawsuit alleges that Australia's economy and reputation in international financial markets will be significantly affected by the adequacy of the Australian government’s response to climate change, and that as a result investors who trade in Australian government bonds face material risks from climate change that should be disclosed. The lawsuit further alleges that the government has misled or deceived investors and continues to mislead or deceive investors in failing to disclose such risks.",Holder of Australian bonds sued government to disclose climate risks.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20200722_Case-number-VID4822020-Judgment-citation-2021-FCA-1223_complaint.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20211008_Case-number-VID4822020-Judgment-citation-2021-FCA-1223_judgment-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20211028_Case-number-VID4822020-Judgment-citation-2021-FCA-1223_application-1.pdf",https://climatecasechart.com/non-us-case/odonnell-v-commonwealth
Millar v. Department of Premier and Cabinet (General),2011,VCAT 1230,Decided,"Suits against governments, Access to information","Australia, Victoria, Civil and Administrative Tribunal","Australia, Freedom of Information Act 1982 (Federal)","A journalist challenged the government of Victoria’s refusal to produce all of the documents responsive to his request under the Freedom of Information Act 1982. The documents, dated from April to December 2009, all pertained to the Victorian government’s position on climate change issues and options for reconciling Victorian and federal climate policy. The Tribunal evaluated arguments relating to each of 11 contested documents and ultimately concluded that the interest of the public weighed on both sides of the case: the public had an interest in knowing how the Victorian and federal governments had negotiated issues related to climate change policy; but the public also had an interest in the Victorian government’s staff being free to deliberate without concern that those deliberations should be public. On this basis, the Tribunal upheld the government’s refusal to produce the 11 contested documents.",Access to government deliberations and communications regarding state and federal climate change policy,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2011/20110630_VCAT-1230_decision.pdf,https://climatecasechart.com/non-us-case/millar-v-department-premier-cabinet-general
City of Lyon v. French Deposits and Consignments Fund,,[2009] Case C-524/09,Denied,"Suits against governments, Access to information","European Union, European Court of Justice","International Law, Aarhus Convention on Access to Environmental Information, European Union, Secondary Law, Directives, 2003/4/EC","This reference for a preliminary ruling arose when the City of Lyon requested the administrator of the French national registry of greenhouse gas emission allowances to provide information on the sales of emissions allowances by the operators of the urban heating sites in 2005. The administrator refused to provide the information. The court found that while information on emissions allowance transactions is “environmental information” within the meaning of the Environmental Information Directive, the data could not be released because it had not reached the expiry of the five-year period and there were no overriding public interest served by the disclosure of such information which would outweigh the confidentiality of the information.",To access information on greenhouse gas emissions allowance transactions,No case documents are available.,https://climatecasechart.com/non-us-case/city-of-lyon-v-french-deposits-and-consignments-fund
Greenpeace Luxembourg v. Schneider,2019,Not available,Decided,"Suits against governments, Access to information","Luxembourg, Administrative Court",,"In September 2019, Greenpeace Luxembourg brought an action in administrative court against the Luxembourgish Minister of Social Security, Roman Schneider.  Greenpeace claims that the Minister failed to respond to an August letter asking for information regarding how Luxembourg's sovereign pension fund planned to align its investments with the objectives of the Paris Agreement, and information on the climate-related financial risks associated with the fund's investments.",Claimant sought information on Luxembourg's national pension fund's investment in climate-harming industries.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2019/20191217_Not-available_judgment-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20200312_Not-available_na-1.pdf",https://climatecasechart.com/non-us-case/greenpeace-luxembourg-v-schneider
Greenpeace France v. France,2021,,Decided,"Suits against governments, Access to information","France, Administrative Court of Paris","France, Public administration code (CRPA), France, Constitution","On December 7th, 2021, Greenpeace France brought an action before the Paris Administrative Court seeking disclosure of the partnership between the Louvre Museum and the TotalEnergies Foundation as well as the list of members of the Louvre Business Circle. The responsibility of public institutions that accept donations from large oil and gas companies is at stake.","Whether the Louvre Museum, a public institution, abused its power by not responding and thus implicitly refusing to disclose administrative documents relating to its partnership agreements with an oil and gas company.","https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20211207_15117_complaint.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20220106_15117_decision.pdf",https://climatecasechart.com/non-us-case/greenpeace-france-v-france
Environment Victoria Inc. v. Department of Primary Industries,2013,[2013] VCAT 39 (Australia),Application approved in part,"Suits against governments, Access to information","Australia, Victoria, Civil and Administrative Tribunal","Australia, Freedom of Information Act 1982 (Federal)","The applicant, an NGO, submitted a request  to the respondent under the Freedom of Information Act 1982 (Cth) (FOIA) for documents relating to: the possible allocation of new licenses to mine brown coal in the Latrobe Valley; reductions to the premium solar feed-in tariff paid to consumers who contribute electricity to the power grid from solar panels; and changes to the planning controls over wind farms. The Department failed to respond to the request within 45 days (as required by the Act). After proceedings were commenced, some documents were produced and issues in dispute were eventually narrowed to four particular documents.  Three of these documents related to allocation of licenses to mine coal, and the fourth related to the premium feed-in tariff scheme.  In withholding these documents, the Department relied on an exception to FOIA which protects cabinet documents (for the three coal related documents), and an exception which protects internal working documents (in relation to all four documents). The Tribunal held that, with the exception of an introductory portion of one document, that the three coal license related documents were protected by the exception for internal working documents, as they had been prepared in order to brief the Minister on issues “of the utmost importance to Victorians.”  The high level nature of the briefing documents, and the sensitivity of the issues involved, were considerations that weighed against their release under FOIA.  The document relating to the premium feed-in tariff scheme was held not to be protected by any of the exceptions.",Application for access to information relating to coal licenses and a feed-in tariff scheme,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2013/20130115_2013-VCAT-39-Australia_order-1.pdf,https://climatecasechart.com/non-us-case/environment-victoria-inc-v-department-of-primary-industries
Clara Leonel Ramos and others vs. State of São Paulo and others (Families for the Climate and Fridays for Future question IncentivAuto Program),2020,Ação Popular 1068508-84.2021.8.26.0053,Decided,"Suits against governments, Access to information, Suits against governments, Human Rights, Youth/Children, Suits against governments, Energy and power","Brazil, Sao Paulo, Sao Paulo State Court","Brazil, Federal Constitution, art. 225, Brazil, PNMC (Federal Law 12 187/2009), Brazil, State Policy on Climate Change – PEMC (State Law 13798/2009), Brazil, State Decree 61.130/2019","On November 10, 2021, individuals from two global movements that seek to promote climate justice, Families for the Climate and Fridays for Future, filled a Popular Action, with a request for a preliminary injunction, against the State of São Paulo, the Governor of the State (João Doria) and the Secretary of Finance and Planning (Henrique Meirelles). The plaintiffs question the adequacy of the administrative acts that structure the institutional design of the IncentivAuto Program - Automotive Regime for New Investments to the federal and state rules protecting the climate system, such as the National Policy on Climate Change - PNMC (Federal Law 12. 187/2009) and the State Policy on Climate Change - PEMC (State Law 13.798/2009), and the international commitments made by Brazil, especially under the United Nations Framework Convention on Climate Change - UNFCCC and the Paris Agreement. The plaintiffs highlight the lack of transparency of the Program's information, which resulted in the separate filing of the Autonomous Action for the Advance Production of Evidence (No. 1047315-47.2020.8.26.0053). They argue that public policies for social and economic development should be aligned with the mitigation of environmental or climate damage and the preservation of the environment, life, and human health of present and future generations, highlighting the social function of property. They allege that the acts do not bring any requirement for project assessment through socio-environmental parameters that aim at the reduction of Greenhouse Gas (GHG) emissions. According to the plaintiffs, the Program finances, with public resources, the increase of emissions, in disagreement with the protective norms of the climate system. Finally, they request, among other things, (i) the granting of injunctive relief determining the suspension of the IncentivAuto Program and, definitively, (ii) the confirmation of the injunction to declare the nullity of the regulations that structure it and of the other administrative acts resulting therefrom; or, alternatively, to determine that the State of São Paulo includes, in the Program, conditions for the approval of projects related to the adoption of measures aimed at the reduction of GHG emissions and adaptation to climate impacts.","The adequacy of the regulations of the IncentivAuto Program (Automotive Regime for New Investments) to the international, federal, and state rules protecting the climate system.","https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20231025_Acao-Popular-1068508-84.2021.8.26.0053_reply-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20231025_Acao-Popular-1068508-84.2021.8.26.0053_reply-2.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20231025_Acao-Popular-1068508-84.2021.8.26.0053_decision-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20231025_Acao-Popular-1068508-84.2021.8.26.0053_decision-2.pdf",https://climatecasechart.com/non-us-case/clara-leonel-ramos-and-bruno-de-almeida-de-lima-vs-state-of-sao-paulo-families-for-the-climate-and-incentivauto-program
Clara Leonel Ramos and Bruno de Almeida de Lima vs. State of São Paulo (Families for the Climate and IncentivAuto Program),2020,Ação Autônoma de Produção Antecipada de Provas (PAP) nº 1047315-47.2020.8.26.0053,Decided,"Suits against governments, Access to information","Brazil, Sao Paulo, Sao Paulo State Court","Brazil, Federal Constitution, art. 225, Brazil, National Policy on Climate Change – PNMC (Federal Law 12, Brazil, State Policy on Climate Change – PEMC (State Law 13798/2009)","On September 25, 2020, two individuals from the global movement Families for the Climate, filled an Autonomous Action for the Advance Production of Evidence against the State of São Paulo to obtain documents on the implementation of the IncentivAuto Program - Automotive Regime for New Investments. The plaintiffs reason that these documents could support or prevent the filing of a class action lawsuit. The program provides financing to motor vehicle manufacturers to carry out projects to expand their industrial plants, set up new factories or develop new products. The plaintiffs allege that it is potentially illegal for IncentivAuto to finance projects that do not minimize the reduction of greenhouse gas (GHG) emissions, in disagreement with the State Policy on Climate Change - PEMC (State Law 13.798/2009) and the National Policy on Climate Change - PNMC (Federal Law 12.187/2009). In addition, they argue that the use of resources from the São Paulo State Taxpayers Support Fund (FUNAC) to finance projects that stimulate polluting action is potentially damaging to the treasury and the environment, without taking into account the need to make socio-economic development compatible with protecting the climate system. The applicants stress the vulnerability of children and adolescents to air pollution and the impacts of climate change. They therefore request the production of documentary evidence relating to projects submitted to IncentivAuto.
On November 16, 2020, the State of São Paulo offered a reply alleging (i) illegitimacy of the applicants to defend diffuse and unavailable interests of third parties, (ii) disconnection of the right that is intended to protect with the objective facts to be proved with the documents and (iii) existence of confidentiality that justifies the limitation of access to information.
On January 12, 2021, the court granted the request to provide part of the information requested and for the State of São Paulo to show the documents. Afterwards there was a judgment deeming the case extinct.",Access to information about the IncentivAuto Program (Automotive Regime for New Investments) and its adequacy to rules protecting the climate system.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20200910_Acao-Autonoma-de-Producao-Antecipada-de-Provas-PAP-no-1047315-47.2020.8.26.0053_petition-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20200925_Acao-Autonoma-de-Producao-Antecipada-de-Provas-PAP-no-1047315-47.2020.8.26.0053_petition.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2020/20201112_Acao-Autonoma-de-Producao-Antecipada-de-Provas-PAP-no-1047315-47.2020.8.26.0053_reply.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210109_Acao-Autonoma-de-Producao-Antecipada-de-Provas-PAP-no-1047315-47.2020.8.26.0053_decision-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210112_Acao-Autonoma-de-Producao-Antecipada-de-Provas-PAP-no-1047315-47.2020.8.26.0053_decision-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20210610_Acao-Autonoma-de-Producao-Antecipada-de-Provas-PAP-no-1047315-47.2020.8.26.0053_decision-1.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20231214_Acao-Autonoma-de-Producao-Antecipada-de-Provas-PAP-no-1047315-47.2020.8.26.0053_decision.pdf",https://climatecasechart.com/non-us-case/clara-leonel-ramos-and-bruno-de-almeida-de-lima-vs-state-of-sao-paulo-families-for-the-climate-and-incentivauto-program-2
