label,year,reporter_info,status,case_categories,jurisdictions,principal_laws,summary,at_issue,case_documents,url
Re Xstrata Coal Queensland Pty. Ltd. & Others,2007,QLRT 33,Decided,"Suits against governments, Environmental assessment and permitting, Natural resource extraction","Australia, Queensland, Land Court","Australia, Environmental Protection Act 1994 (Queensland), Australia, Mineral Resources Act 1989 (Queensland)","Environmental advocates argued that permission for a new coal mine should be conditional on the mine offsetting 100% of its expected GHG emissions. The Court assessed further factors such as the adverse environmental impact, prejudice to the public right and interest, and ecological sustainable development principles as under Section 269 of the Mineral Resources Act 1989. The Tribunal rejected the objections made after raising questions of the validity of the Stern Review and the Fourth Assessment Report of the Intergovernmental Panel on Climate Change, as well as not finding the cause and effect between the particular mine proposed and climate change, particularly in the absence of universally applied policies for GHG reduction.",Relevance of Scope 3 greenhouse gas emissions to permission to develop new coal mine,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2007/20070215_QLRT-33_decision.pdf,https://climatecasechart.com/non-us-case/re-xstrata-coal-queensland-pty-ltd-others
Greenpeace v. Secretary of State for Trade and Industry,,[2007] EWHC 311,Application granted,"Suits against governments, Environmental assessment and permitting, Other projects","United Kingdom, England and Wales, High Court of Justice","International Law, Aarhus Convention on Access to Environmental Information","The Judgment relates to a 12-month consultation process announced in November 2005 by the Secretary of State for Trade and Industry regarding the Government’s review of its policy with respect to nuclear power stations. Greenpeace was among the parties that made submissions during the consultation. Despite many submissions against nuclear energy, the Secretary of State published a report in July 2006 announcing that the Government was favorable to the construction of new nuclear plants in the country. Greenpeace challenged that decision arguing that the consultation process had been flawed. Agreeing with Greenpeace’s allegations, the High Court declared the consultation process to have been “very seriously flawed” (para. 116). Notably, the Court reminded the Secretary of State that the Government had signed and ratified the Aarhus Convention on Access to Information, Public Participation in Decision-making and Access to Justice in Environmental Matters and was thus bound by international law to provide full public consultation. Among other shortfalls, the Court highlighted that insufficient information was given to consultees, that the consultation document was seriously misleading, and that the consultation period was insufficient. Nevertheless, the Court held that the better outcome in the case was to grant declaratory relief, rather than a quashing order as asked by Greenpeace.",Challenge to consultation process for government report into construction of new nuclear power plants,,https://climatecasechart.com/non-us-case/greenpeace-v-secretary-of-state-for-trade-and-industry
Seadragon Offshore Wind Pty Ltd v Minister for Climate Change and Energy,2024,NSD777/2024,Pending,"Suits against governments, Environmental assessment and permitting, Renewable projects",,"Australia, Administrative Law","Flotation Energy, a company planning to build an offshore wind farm in Australia (called ""Seadragon""), has commenced judicial review proceedings challenging the minister's refusal to grant a license approving the project. Among the minister's reasons for declining the license are concerns about threatened and aquatic species, the impact on terrestrial, marine and freshwater environments, Aboriginal cultural heritage values, and landscape and visual amenity.",Whether the minister's decision to refuse to grant the license should be quashed.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2024/20240822_NSD7772024_order.pdf,https://climatecasechart.com/non-us-case/seadragon-offshore-wind-pty-ltd-v-minister-for-climate-change-and-energy
Greenpeace New Zealand v. Northland Regional Council,,[2007] NZRMA 87,Application granted,"Suits against governments, Environmental assessment and permitting, Utilities","New Zealand, High Court of New Zealand","New Zealand, Resource Management Act 1991","New Zealand Court ruled in favor of Greenpeace holding that climate change was a relevant consideration in the government’s consent of greenhouse gas discharge from a proposed coal-fired power station.  The Northland Regional Council had granted consent to Mighty River Power Ltd to discharge contaminants from a proposed coal-fired power station at Marsden Point.  The court held, under the Resource Management Act 1991, that a consent authority can consider the effects of such discharge on climate change in applications relating to both renewable and non-renewable energy.",Challenge to regional council consent to a proposed coal-fired power station,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2006/20061012_2007-NZRMA-87_judgment.pdf,https://climatecasechart.com/non-us-case/greenpeace-new-zealand-v-northland-regional-council
Russell and Ors v. Surf Coast Shire Council and Anor,2009,2009 VCAT 1324,Decided,"Suits against governments, Environmental assessment and permitting, Renewable projects","Australia, Victoria, Civil and Administrative Tribunal","Australia, Planning and Environment Act 1987 (Victoria)","Several dozen local residents challenged approval of a wind farm on various grounds—procedural, noise-related, related to cultural heritage, and others. The Tribunal considered each and ultimately rejected them, concluding that the public’s interest in various features of the landscape where the turbines would be sited was outweighed by the turbines’ contribution to the country’s supply of renewable energy. Notably, the tribunal also considered and rejected the argument that the turbines’ low capacity factor (relative to a baseload generation facility) weighed against the premise that they contributed to the public’s interest in renewable generation.",Permission to develop windfarm despite its adverse local impacts,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2009/20090713_2009-VCAT-1324_decision.pdf,https://climatecasechart.com/non-us-case/russell-ors-v-surf-coast-sc-anor
Wigan Metropolitan Borough Council v. Secretary of State for the Environment Transport and Regions,,[2001] EWHC Admin 587,Dismissed,"Suits against governments, Environmental assessment and permitting, Climate adaptation","United Kingdom, England and Wales, High Court of Justice","United Kingdom, Town and Country Planning Act 1990 (England and Wales)","The local planning authority challenged an Inspector’s approval of a permit application for a residential development. Claimant argued that the application should have been denied because  the development would have adverse effects in terms of flooding. After negotiations, it was proposed that compensatory flood storage would be provided.  The inspector considered flooding in the context of possible effects of climate change and determined that the flood risks could be adequately addressed through the compensatory flood storage. Finding no error in the Inspector’s decision, the court dismissed the application.",Challenge approval of permit for construction of a residential development due to flood risks.,No case documents are available.,https://climatecasechart.com/non-us-case/wigan-metropolitan-borough-council-v-secretary-of-state-for-the-environment-transport-regions
Paul v. Goulburn Murray Water Corporation and Others,2008,[2010] VCAT 1755,Decided,"Suits against governments, Environmental assessment and permitting, Climate adaptation","Australia, Victoria, Civil and Administrative Tribunal","Australia, Water Act 1989 (Victoria)","This case concerned a challenge to a decision by a local water authority, the Goulburn Murray Water Corporation, in Victoria, Australia,  to issue two licenses under the Water Act 1989 (Vic) allowing the extraction of groundwater for use in irrigation on farms. The two permits at issue allowed the extraction of 490 and 594 ML (megaliters) per year respectively.   Mr. Paul challenged the licenses on the grounds that the use of water would be unsustainable, particularly in light of the projected impacts of climate change and associated water shortages.  While the Tribunal noted that there was some uncertainty about the impacts of climate change, and that uncertainty may lead to the application of the precautionary principle, it found that on the technical evidence before it that the water use would be sustainable taking into account the range of estimates for the impact of climate change on water levels in the region.","Challenge to a water license on the basis that the allocation was unsustainable, particularly with regard to future climate change impacts on water levels",https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2010/20101103_2010-VCAT-1755_decision.pdf,https://climatecasechart.com/non-us-case/paul-v-goulburn-murray-water-corporation-ors
Thomas & De Freitas v. Guyana,2021,,Pending,"Suits against governments, Environmental assessment and permitting, Natural resource extraction","Guyana, Supreme Court","Guyana, Constitution","On May 21, 2021, two Guyanese citizens filed suit alleging that Guyana violated their constitutional rights by approving oil exploration licenses to an ExxonMobil-led group. Plaintiffs are Quadad de Freitas, an Indigenous youth, and Dr. Troy Thomas, a scientist and university lecturer. According to media reports, plaintiffs allege that the constitutional rights to a to a healthy environment, sustainable development, and the rights of future generations require the government to stop issuing licenses to activities that will exacerbate climate change. They point to evidence that the licenses could lead to billions of tonnes of CO2 emissions, which would imperil the coastal nation.",Whether Guyana's issuing of oil exploration permits violates constitutional human rights,No case documents are available.,https://climatecasechart.com/non-us-case/thomas-de-freitas-v-guyana
Campbell and Others v. Mornington Peninsula Shire Council,2010,[2010] VCAT 1457 (Australia),Approved with conditions,"Suits against governments, Environmental assessment and permitting, Climate adaptation","Australia, Victoria, Civil and Administrative Tribunal","Australia, Planning and Environment Act 1987 (Victoria)","Applicants challenged a redevelopment proposal because of failure to conduct a coastal hazard vulnerability assessment, among other concerns. While affirming the importance of taking a cautious approach to coastal vulnerability issues, an Australian state court found, based on expert testimony, that the proposal did not present any unreasonable coastal vulnerability issues. The court affirmed the local council’s approval of the permit subject to certain conditions, including drainage requirements.",Challenge of approval of construction permit,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2016/20160827_2010-VCAT-1457-Australia_decision.pdf,https://climatecasechart.com/non-us-case/campbell-ors-v-mornington-peninsula-sc
R. v. Dosanjh,,[2013] EWCA Crim 2366,Sentences reduced,"Suits against governments, Environmental assessment and permitting, Other projects","United Kingdom, England and Wales, Court of Appeal, Court of Appeal (Civil Division)","European Union, Secondary Law, Directives, 2003/87/EC","The defendants were involved in manipulation of the EU Emissions Trade Scheme, running companies that formed two artificial ‘trading chains’ through which the fraud was operated. They were convicted of the common law offense of conspiring to cheat the public revenue and sentenced to terms of imprisonment of 15 years, 11 years and 9 years, respectively. The defendants appealed the sentences, arguing that (1) it was wrong in principle to pass a sentence which was longer than the maximum penalty available for the equivalent statutory offenses or for the cognate common law offense of conspiracy to defraud; and (2) the sentence of 15 years was, on the facts of the case, manifestly excessive.",Challenging criminal sentence for cheating the EU ETS,No case documents are available.,https://climatecasechart.com/non-us-case/regina-v-dosanjh
