"Greenpeace USA. Contact: Connor Gibson, cgibson@greenpeace.org",,,,
Koch Industries: Secretly Funding the Climate Denial Machine,,,,
,,"5-YEAR TOTAL, 2014-2018","KYOTO TO PRESENT TOTAL, 1997-2018","GRAND TOTAL, 
1986-2018"
Organization,Foundation,"$67,109,331 ","$145,556,729 ","$168,409,886 "
 Total,,"$67,109,331 ","$145,556,729 ","$168,409,886 "
Acton Institute for the Study of Religion and Liberty Total,,"$536,526 ","$1,020,276 ","$1,087,776 "
Advance Arkansas Institute Total,,"$96,440 ","$185,740 ","$185,740 "
Alabama Policy Institute Total,,$0 ,"$14,000 ","$14,000 "
America's Future Foundation (AFF) Total,,"$62,748 ","$62,748 ","$62,748 "
American Conservative Union Foundation (ACU) Total,,"$9,000 ","$9,000 ","$9,000 "
American Council for Capital Formation (ACCF) Total,,"$50,000 ","$600,000 ","$600,000 "
American Council on Science and Health (ACSH) Total,,$0 ,"$155,000 ","$161,000 "
American Enterprise Institute (AEI) Total,,"$498,832 ","$2,276,121 ","$2,276,121 "
American Legislative Exchange Council (ALEC) Total,,"$2,295,662 ","$3,375,620 ","$3,435,620 "
American Spectator Foundation Total,,"$127,361 ","$171,861 ","$171,861 "
Americans for Prosperity Foundation (AFP) Total,,"$526,430 ","$6,330,584 ","$6,330,584 "
Americans for Tax Reform (ATR) Total,,"$7,250 ","$117,250 ","$117,250 "
Atlas Network (formerly Atlas Economic Research Foundation) Total,,"$490,847 ","$655,469 ","$715,469 "
Ayn Rand Institute (ARI) Total,,"$290,500 ","$415,500 ","$415,500 "
California Policy Center Total,,"$10,000 ","$10,000 ","$10,000 "
Capital Research Center Total,,"$50,888 ","$720,888 ","$745,888 "
Cato Institute Total,,"$8,548,018 ","$14,093,768 ","$22,437,008 "
Center for Freedom & Prosperity Foundation Total,,"$75,000 ","$129,266 ","$129,266 "
Center for Independent Thought Total,,"$170,000 ","$325,000 ","$325,000 "
Center for the National Interest Total,,"$852,450 ","$852,450 ","$852,450 "
Center for the Study of Carbon Dioxide and Global Change Total,,$0 ,"$85,000 ","$85,000 "
Center for the Study of Market Processes (precursor to Mercatus) Total,,$0 ,"$50,000 ","$250,000 "
Citizens Against Government Waste (CAGW) Total,,"$4,800 ","$4,800 ","$4,800 "
Citizens for a Sound Economy Foundation (precursor to AFP) Total,,$0 ,"$6,510,375 ","$12,331,712 "
Civitas Institute (John William Pope Civitas Institute) Total,,"$41,125 ","$41,125 ","$41,125 "
CO2 Coalition (formerly George C. Marshall Institute) Total,,"$175,409 ","$670,409 ","$670,409 "
Collegians For A Constructive Tomorrow (CFACT Campus) Total,,"$3,812 ","$16,097 ","$16,097 "
Committee For A Constructive Tomorrow (CFACT) Total,,"$38,252 ","$38,252 ","$38,252 "
Commonwealth Foundation for Public Policy Alternatives Total,,"$17,368 ","$83,284 ","$83,284 "
Competitive Enterprise Institute (CEI) Total,,"$297,660 ","$848,259 ","$1,043,259 "
Council for National Policy Total,,$0 ,"$100,000 ","$100,000 "
Daily Caller News Foundation Total,,"$3,448,629 ","$3,509,693 ","$3,509,693 "
Education Action Group Foundation Total,,$0 ,"$45,000 ","$45,000 "
Encounter for Education and Culture Total,,"$345,000 ","$395,000 ","$395,000 "
Environmental Literacy Council Total,,$0 ,"$180,000 ","$180,000 "
Federalist Society for Law and Public Policy Studies Total,,"$2,625,664 ","$5,662,499 ","$5,714,499 "
Foundation for Economic Education (FEE) Total,,"$515,400 ","$546,167 ","$546,167 "
Foundation for Research on Economics and the Environment (FREE) Total,,$0 ,"$1,525,000 ","$1,650,500 "
Franklin Center for Government and Public Integrity Total,,"$133,705 ","$142,407 ","$142,407 "
Fraser Institute Total,,"$911,000 ","$1,676,500 ","$1,699,721 "
Free Market Environmental Law Clinic Total,,"$16,185 ","$16,185 ","$16,185 "
Frontiers of Freedom Total,,"$160,000 ","$335,000 ","$335,000 "
Future of Freedom Foundation Total,,"$20,000 ","$35,000 ","$45,000 "
Georgia Public Policy Foundation Total,,"$49,884 ","$51,634 ","$51,634 "
Goldwater Institute Total,,"$245,000 ","$320,000 ","$320,000 "
Grassroots Institute of Hawaii Total,,"$10,000 ","$10,000 ","$10,000 "
Heartland Institute,Charles Koch Foundation,$0 ,"$25,000 ","$60,000 "
,Claude R. Lambe Charitable Foundation,$0 ,"$30,000 ","$40,000 "
Heartland Institute Total,,$0 ,"$55,000 ","$100,000 "
Heritage Foundation Total,,"$829,356 ","$6,342,201 ","$6,476,201 "
Hudson Institute Total,,"$69,000 ","$151,650 ","$151,650 "
Humane Studies Foundation Total,,$0 ,$0 ,"$300,000 "
Illinois Policy Institute Total,,"$135,837 ","$135,837 ","$135,837 "
Independence Institute (II) Total,,$0 ,"$141,000 ","$141,000 "
Independent Institute Total,,"$50,000 ","$200,000 ","$210,000 "
Independent Women's Forum (IWF) Total,,$0 ,"$844,115 ","$844,115 "
Institute for Energy Research (IER) Total,,"$460,742 ","$700,742 ","$702,742 "
"Institute for Humane Studies (IHS), at George Mason University (GMU) Total",,"$26,949,416 ","$47,362,734 ","$51,571,716 "
Institute of World Politics Total,,"$25,000 ","$25,000 ","$25,000 "
James G. Martin Center for Academic Renewal (formerly John William Pope Center for Higher Education Policy) Total,,"$65,000 ","$65,000 ","$65,000 "
James Madison Institute Total,,"$739,000 ","$887,479 ","$887,479 "
John Locke Foundation Total,,"$178,000 ","$325,472 ","$337,472 "
Kansas Policy Institute Total,,"$17,500 ","$22,500 ","$22,500 "
Leadership Institute Total,,"$173,593 ","$290,292 ","$302,292 "
Liberty on the Rocks Total,,"$15,000 ","$25,000 ","$25,000 "
"MacIver Institute for Public Policy, John K. Total",,"$25,000 ","$25,000 ","$25,000 "
Mackinac Center for Public Policy Total,,"$1,013,500 ","$1,097,651 ","$1,097,651 "
Maine Heritage Policy Center Total,,"$7,500 ","$7,500 ","$7,500 "
Manhattan Institute for Policy Research Total,,"$854,537 ","$3,252,537 ","$3,302,537 "
Media Research Center Total,,$0 ,"$15,005 ","$15,005 "
"Mercatus Center, George Mason University Total",,"$189,500 ","$9,475,000 ","$11,381,065 "
National Center for Policy Analysis (NCPA) Total,,"$25,000 ","$719,674 ","$795,674 "
National Review Institute Total,,"$34,252 ","$44,252 ","$44,252 "
National Taxpayers Union Foundation (NTUF) Total,,"$370,960 ","$410,271 ","$410,271 "
Nevada Policy Research Institute Total,,"$60,650 ","$60,650 ","$60,650 "
Pacific Legal Foundation Total,,"$165,558 ","$165,558 ","$165,558 "
Pacific Research Institute for Public Policy Total,,"$350,000 ","$1,752,000 ","$2,067,800 "
Philadelphia Society Total,,"$48,000 ","$48,000 ","$48,000 "
Philanthropy Roundtable Total,,"$21,845 ","$281,590 ","$281,590 "
Property and Environment Research Center (PERC) Total,,"$390,000 ","$608,144 ","$648,144 "
Reason Foundation Total,,"$1,758,501 ","$3,885,759 ","$4,635,771 "
Remnant Foundation Total,,"$15,000 ","$15,000 ","$15,000 "
Rio Grande Foundation Total,,"$80,000 ","$80,000 ","$80,000 "
Smithsonian Institute Astrophysical Observatory (Willie Soon) Total,,$0 ,"$230,000 ","$230,000 "
State Policy Network Total,,"$70,328 ","$134,551 ","$134,551 "
"Strata Policy, Inc Total",,"$3,222,538 ","$3,222,538 ","$3,222,538 "
Students for Liberty (SFL) Total,,"$714,857 ","$820,185 ","$820,185 "
Tax Foundation Total,,"$739,000 ","$1,416,100 ","$1,416,100 "
Texas Public Policy Foundation (TPPF) Total,,"$3,459,423 ","$4,158,422 ","$4,158,422 "
The Undercurrent (TU Publications) Total,,"$14,000 ","$14,000 ","$14,000 "
Washington Legal Foundation (WLF) Total,,"$15,093 ","$1,620,093 ","$1,622,593 "
Washington Policy Center Total,,$0 ,"$5,000 ","$5,000 "
Grand Total,,"$134,218,662 ","$291,113,458 ","$336,819,772 "
