http://www.w3.org/2000/01/rdf-schema#label,https://www.michaeldebellis.com/climate_obstruction/year,https://www.michaeldebellis.com/climate_obstruction/reporter_info,https://www.michaeldebellis.com/climate_obstruction/status,https://www.michaeldebellis.com/climate_obstruction/case_categories,jurisdictions,principal_laws,summary,at_issue,case_documents,url
Yayasan Wahana Lingkungan Hidup Indonesia v. Governor of Bali and others,2012,"Decision No. 183/B/2013/PT.TUN.SBY, Decision No. 01/G/2013/PTUN.Dps, Decision No. 151/K/TUN/2014",Decided,"Suits against corporations, individuals, Corporations, Climate damage, Suits against corporations, individuals, Corporations, Environmental assessment and permitting","Indonesia, Supreme Court, Indonesia, Denpasar Administrative Court","Indonesia, Government Regulation No. 36 of 2010, Indonesia, Environmental Law No.32 of 2009","In 2012, an environmental organization, Wahana Lingkungan Hidup, filed a lawsuit against the Governor of Bali for issuing a permit to establish tourist accommodation facilities in a mangrove ecosystem area, which is included in a forest park area (Taman Hutan Raya) which is supposed to be excluded from possible commercial use. The plaintiff argued that the issuance of the permit was against the 2009 EPMA and Government Regulation No. 36 of 2010 on Nature Tourism Business in Wildlife Sanctuaries, National Parks, Grand Forest Parks and Nature Tourism Parks because it did not involve the community in the permit application process and had the potential to cause damage to the mangrove ecosystem. The plaintiff argued that the logging of mangrove trees in the permit area can hinder the mangroves’ function in mitigating climate change since mangrove forests have a much greater ability to absorb CO2 than other tropical land forests.",Whether climate change should be considered as part of actual damage.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2013/20131128_Decision-No.-183B2013PT.TUN_.SBY-Decision-No.-01G2013PTUN.Dps-Decision-No.-151KTUN2014_decision.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2014/20140522_Decision-No.-183B2013PT.TUN_.SBY-Decision-No.-01G2013PTUN.Dps-Decision-No.-151KTUN2014_decision.pdf",https://climatecasechart.com/non-us-case/yayasan-wahana-lingkungan-hidup-indonesia-v-governor-of-bali-and-others/
ASA Ruling on BMW (UK) Ltd,2024,,Decided,"Suits against corporations, individuals, Corporations, Misleading advertising","United Kingdom, Advertising Standards Authority (ASA)","United Kingdom, UK Code of Non-broadcast Advertising, Sales Promotion and Direct Marketing","""A paid for Google ad for BMW featured the claim, “Zero Emissions Cars – Download Your Brochure Today …”.",Whether a claim that BMW cars were ‘zero emissions’ misleadingly represented their environmental impact,No case documents are available.,https://climatecasechart.com/non-us-case/asa-ruling-on-bmw-uk-ltd/
Australian Parents for Climate Action v EnergyAustralia,2023,NSD833/2023,Pending,"Suits against corporations, individuals, Corporations, Carbon credits, Suits against corporations, individuals, Corporations, Misleading advertising","Australia, Federal Court of Australia","Australia, Australian Consumer Law","On August 9, 2023, Australian Parents for Climate Action (AP4CA) filed a claim in the Federal Court of Australia challenging allegedly misleading statements made by EnergyAustralia about its “carbon neutral” energy products. AP4CA is a climate advocacy organization that works for parents, carers, and families who want to create a safer future for their children. EnergyAustralia produces and sells electricity and is Australia’s third largest domestic greenhouse gas emitter, producing 16.2 million tonnes of CO2 equivalent in 2021/22. EnergyAustralia offers “Go Neutral Electricity” and “Go Neutral Gas” products. “Go Neutral” customers purchase energy which is mainly sourced from burning fossil fuels, and EnergyAustralia promises to purchase carbon credits to “offset” the associated emissions. The “Go Neutral” products require consumers to opt-in, but there is no additional cost to the consumer.",Whether Energy Australia has misled consumers when making representations about the carbon neutrality of its “Go Neutral” product offering.,No case documents are available.,https://climatecasechart.com/non-us-case/australian-parents-for-climate-action-v-energyaustralia/
Australian Competition and Consumer Commission v. Goodyear Tyres,2008,,Decided,,"Australia, Federal Court of Australia","Australia, Trade Practices Act 1974 (Federal) (known as Competition and Consumer Act 2010 since 2011)","The Australian Competition and Consumer Commission (ACCC) challenged Goodyear Tyres for falsely labeling its LS200 tyres as “environmentally-friendly” because its production process emitted less carbon dioxide and its new BioTRED technology increased the life of the tyre and improved fuel economy.  ACCC charged that Goodyear Tyres was misleading consumers about the environmental benefits of its tyres, breaching sections 52 and 53(c) of the Trade Practices Act 1974.  Goodyear Tyres gave a court-enforceable undertaking that it would halt its false advertising and partially compensate all customers who had relied on it during 2007 and 2008.",Challenge to corporation for false green advertising.,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2008/20080626_2519_press-release-1.pdf,https://climatecasechart.com/non-us-case/australian-competition-and-consumer-commission-v-goodyear-tyres/
"Instituto Preservar, AGAPAN and Núcleo Amigos da Terra vs. Federal Union and others (Climate emergency in Rio Grande do Sul state)",2023,Public Civil Action (ACP) 5050920-75.2023.4.04.7100,Pending,"Suits against governments, Environmental assessment and permitting, Natural resource extraction, Suits against governments, Energy and power, Suits against corporations, individuals, Corporations, Environmental assessment and permitting, Suits against corporations, individuals, Corporations, Just Transition","Brazil, Rio Grande do Sul, Rio Grande do Sul Federal Court","International Law, UNFCCC, Paris Agreement, Brazil, National Policy on Climate Change – PNMC (Federal Law 12, Brazil, State Policy on Climate Change (Rio de Grande do Sul)","On July 6, 2023, Instituto Preservar, Associação Gaúcha de Proteção ao Ambiente Natural - AGAPAN and Núcleo Amigos da Terra - Brasil filed a Public Civil Action (ACP) against the Federal Union, Federal Environment Agency - IBAMA, National Electric Power Agency - ANEEL, Companhia de Geração e Transmissão de Energia Elétrica do Sul do Brasil - Eletrobras CGT Eletrosul (SE & UTE Cantiota III), the State of Rio Grande do Sul, Rio Grande do Sul environmental agency - FEPAM and Companhia Riograndense de Mineração - CRM. The lawsuit seeks to order the defendants to adopt effective measures to comply with the guidelines, deadlines and targets set out in federal and Rio Grande do Sul 's climate laws. It is argued that in the period from 2009 to 2023, the Federal Government, and from 2010 to 2023, the state of Rio Grande do Sul, by action or omission, failed to comply with the legal guidelines and did not meet the deadlines and targets set out in the National Policy on Climate Change (PNMC), the Paris Agreement and the Rio Grande do Sul ‘s Policy on Climate Change (PGMC), as there was no effective implementation of instruments such as the Strategic Environmental Assessment (SEA), equal and transparent composition of the Rio Grande do Sul Climate Change Forum (FGMC) and the Brazilian Climate Change Forum and no measures have been taken to reduce greenhouse gas (GHG) emissions from coal-fired power plants in the state of Rio Grande do Sul, with a Just Energy Transition (TEJ) plan, which results in the ineffectiveness of these climate standards. It is pointed out that the climate crisis has led to water shortages in the municipality of Candiota, which has been recognized by municipal decree and that, in parallel to this situation, the various coal-fired thermoelectric plants in the region use local water for cooling, causing damage to the water system, the biome and the climate. It is alleged that the defendants have neglected climate policy when dealing with the licensing and renewal of licenses for these projects in the state. At the same time, the Federal Government has encouraged coal-fired thermoelectric projects through energy auctions authorized by ANEEL. CRM, responsible for the Candiota coal mine, and CGT Eletrosul, responsible for the Candiota III Thermoelectric Plant - the most polluting and least efficient plant in the country - have been operating in disregard of environmental climate laws. It is argued that it is up to the Judiciary, based on the principle of the prohibition of regression and duties of protection, to guarantee effective compliance with the rules in question and prevent the climate scenario from worsening. It is argued that the entire situation of alleged unlawfulness gives rise to a claim for compensation for collective moral damages. The plaintiffs make several requests for injunctive relief for the various defendants, so that the defendants' conduct is brought into line with the environmental climate standards. On the merits, it is requested that (i) the requests for preliminary injunctions be confirmed; (ii) it be declared that in the period from 2009 to 2023, the Federal Government, and from 2010 to 2023, the state of Rio Grande do Sul, by action or omission, failed to comply with climate standards and did not meet the deadlines and targets set out in the PNMC, the Paris Agreement and the PGMC, because they did not give effect to the regulations and did not act to reduce GHG emissions from coal-fired thermoelectric plants in the state; (iii) to declare that Rio Grande do Sul has failed to meet the targets and deadlines set out in international, national and state regulations; (iv) the suspension of public incentives to exploit coal in the state, the implementation of a TEJ plan for the contested plants; the publication of public notices to finance educational projects and research projects with universities and federal institutes that encourage environmental awareness and the guidelines of the PNMC and PGM; the creation of a WG for the decommissioning and energy transition of coal-fired projects; the suspension and non-renewal of energy sales contracts for the contested plants; (v) ordering the defendants to pay compensation for climate damage; (vi) ordering the Federal Government and the state of Rio Grande do Sul to bear the costs of the requests made; (vii) ordering all the defendants to pay the sum of ten million reais as collective moral damage in environmental and climate matters.","The lawsuit seeks to order the defendants to adopt effective measures to comply with the guidelines, deadlines and targets set out in federal and state (Rio Grande do Sul) climate laws.",https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20230706_Public-Civil-Action-ACP-5050920-75.2023.4.04.7100_petition-1.pdf,https://climatecasechart.com/non-us-case/instituto-preservar-agapan-and-nucleo-amigos-da-terra-vs-federal-union-and-others-climate-emergency-in-rio-grande-do-sul-state/
Greenpeace Poland v. PGE GiEK,2020,,Pending,"Suits against corporations, individuals, Corporations, GHG emissions reduction","Poland, Regional Court in Łódź","Poland, Environmental Protection Law of 2001","On March 11, 2020 Greenpeace Poland filed a lawsuit against PGE GiEK, a subsidiary of state-owned utility PGE Polska Grupa Energetyczna, at the Regional Court in Łódź. According to Greenpeace, the complaint relies on article 323 of the Environmental Protection Law and requests that that PGE GiEK halt any fossil fuel investments and achieve net zero greenhouse gas emissions from its existing coal plants by 2030. Article 323 provides, in part, that ""[e]very person who is directly threatened by damage or has suffered damage as a result of illegal impact on the environment may demand that the entity responsible for this threat or violation should restore the state complying with law and take preventive measures.""Greenpeace asserts that PGE Polska Grupa Energetyczna is the largest utility in Poland, and derives about 90% of its electricity from coal.",Greenpeace sued utility to compel GHG reductions.,No case documents are available.,https://climatecasechart.com/non-us-case/greenpeace-v-pge-giek/
The Friends of Nature Institute v. Ningxia State Grid,2018,,Pending,"Suits against corporations, individuals, Corporations, Just Transition","China, Yinchuan Intermediate People's Court","China, Renewable Energy Law, Article 2, China, Renewable Energy Law, Article 14","On January 24, 2018, the Friends of Nature Institute (FON) sued the State-owned enterprise, Ningxia State Grid for its high abandonment rate of wind and solar power in violation of Articles 2 and 14 of the Renewable Energy Law. Article 2 provides a definition of ""renewables,"" and Article 14 requires that the grid companies ""purchase all electricity generated from renewable energy sources"" and ""provide connection service.""",Whether Ningxia State Grid has violated the Renewable Energy Law by failing to purchase all electricity from renewable energy sources as to protect the environment.,No case documents are available.,https://climatecasechart.com/non-us-case/the-friends-of-nature-institute-v-ningxia-state-grid/
Regional Court of Frankfurt am Main’s decision on company’s climate neutral claims regarding frozen croquettes,2015,,Decided,"Suits against corporations, individuals, Corporations, Misleading advertising","Germany, Regional Court of Frankfurt am Main","Germany, The Act against Unfair Competition","In December 2015, the Centre for Protection against Unfair Competition filed a claim in the Regional Court of Frankfurt a.M. against a company for its advertising on the packaging of frozen croquettes on the basis of § 5 para. 1 of the Act against Unfair Competition, arguing that it was misleading. The advertising claims were ‘100 % climate neutral’ and ‘the world’s first 100 % climate-neutral potato specialist. From the potato field to the retailer’s freezer shelf.’ On their website, the defendant clarified the statement as follows: ‘Being a climate-neutral company means that we try to avoid and reduce CO2-emissions. We offset the rest of our emissions by promoting projects that support renewable energy, energy efficiency and many other CO2-related issues.’",Whether the climate-neutrality statements advertised on product packaging constitute misleading corporate practices,https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2016/20160531_18227_judgment.pdf,https://climatecasechart.com/non-us-case/regional-court-of-frankfurt-am-mains-decision-on-companys-climate-neutral-claims-regarding-frozen-croquettes/
Allhoff-Cramer v. Volkswagen AG,2021,,Decided,"Suits against corporations, individuals, Corporations, GHG emissions reduction","Germany, Regional Court of Detmold",,"In November 2021, an organic farmer sued Volkswagen AG (VW) for its excessive emissions of carbon dioxide. The plaintiff submits that Volkswagen’s business activities are adversely impacting his personal liberty and property rights. He submits that VW, as the world’s second largest car manufacturer is partly responsible for the damage climate change has caused to his farm in the form of droughts and heavy rains. Claimant argues that VW’s sale of millions of cars, exacerbates the climate crisis, causing future losses.","Whether Volkswagen’s business activities constitute a violation of claimant’s rights, and the company can be ordered to reduce its emissions to avoid further and future infringements of rights.","https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2021/20211108_18687_complaint.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2022/20221209_18687_press-release.pdf",https://climatecasechart.com/non-us-case/allhoff-cramer-v-volkswagen-ag/
Complaint against Virgin Atlantic and British Airways under the OECD Guidelines brought by Possible,2023,,Pending,"Suits against corporations, individuals, Corporations, Climate damage, Suits against corporations, individuals, Corporations, Disclosures, Suits against corporations, individuals, Corporations, GHG emissions reduction","OECD, United Kingdom National Contact Point","United Kingdom, OECD Guidelines for Multinational Enterprises","In November 2023, Possible submitted complaints to the UK National Contact Point (“NCP”) concerning statements by Virgin Atlantic and British Airways. The NCP is part of the Department for Business and Trade. It is responsible for promoting the OECD guidelines for multinational enterprises on responsible business conduct and for operating the complaints mechanism in the guidelines.
Both airlines are said to have made a significant number of misleading claims about reducing emissions, efficiency and alternative fuels. Additionally Virgin is said to have made misleading claims about net zero, and British Airways about offsets. These claims, individually and collectively, are said to downplay the current and likely future impact of each airline’s operations on the climate. This is on the basis the statements convey the incorrect impression that the airlines are in the process of eliminating the environmental impact of their flights. It is said this tells consumers that they can continue to fly frequently without worrying unduly about their carbon footprint, and it tells policy-makers that they do not need to take steps to moderate the growth in demand for flying. Possible’s position is that, if the world hopes to achieve the goals of the Paris Agreement, and avoid the worst impacts of climate change, both of these messages are false.",Whether statements by two UK-based airlines about their efforts to reduce and/or offset climate impacts adhered to the OECD guidelines for multinational enterprises on responsible business conduct.,"https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20231101_67119_complaint.pdf, https://climatecasechart.com/wp-content/uploads/non-us-case-documents/2023/20231101_67119_complaint-1.pdf",https://climatecasechart.com/non-us-case/complaint-against-virgin-atlantic-and-british-airways-under-the-oecd-guidelines-brought-by-possible/
